# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc12	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
k__Archaea;p__Crenarchaeota;c__MBGA	9.84445757039e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91779974557e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87963254466e-05	0.0	0.0	0.0	6.13248623257e-06	0.0	0.0	9.13100249276e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG	0.0	0.0	0.0	1.03197044437e-05	7.14764095684e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52909997139e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.0129454617051	0.0490304415616	0.01600863387	0.0113207157747	0.00160393063071	0.0225030205397	0.028314603025	0.0260268017465	0.029656516614	0.0368283896681	0.0340614999304	0.0193803568822	0.01484430568	0.0164272525754	0.0319166215485	0.0602662218365	0.00544886542513	0.069515089861	0.0190232036473	0.0455120214512	0.0314596543731	0.0645168576548	0.00873807730924	0.00657432179479	0.0180175771693	0.04367103377	0.0326972319742	0.00520681831404	0.0217362731246
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	3.02750488185e-05	5.62100908355e-06	0.0	2.64462715403e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.39026950374e-05	0.0	0.0	2.70709258257e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.50581999428e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0.0	4.54125732278e-05	0.0	0.0	1.50100460094e-05	0.0	0.0	0.0	0.0	0.0	9.27600760633e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	5.62100908355e-06	0.0	2.85905638274e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63551728413e-06	0.0	0.0	0.0	0.0	0.0	0.000361396798627	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99469411366e-05	0.0	0.0	0.0	5.27036997997e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	2.4611143926e-05	0.0	0.0	0.0	0.0	1.67807759431e-05	4.13472590902e-05	0.0	0.0	0.0	3.71040304253e-05	6.95134751872e-06	6.46609457125e-05	2.05726394182e-05	4.06063887385e-05	6.19906901254e-05	0.0	0.0	0.0	0.0	6.13248623257e-06	0.0	0.0	2.73930074783e-05	3.91473702754e-05	6.66733340001e-05	0.0	0.0	0.0
k__Bacteria;p__;c__	9.84445757039e-05	0.000227062866139	0.000202356327008	0.000257992611092	0.00030806332524	0.000973285004699	0.000363855879994	0.000207911996522	8.7533992367e-05	8.62267187859e-05	0.000213348174946	0.000173783687968	0.000184745559179	0.000375450669382	5.41418516513e-05	0.000214149656797	8.07239322242e-05	0.000246012274018	0.000233056093689	0.000484265844013	0.00021463701814	0.000127994699514	3.921937751e-05	2.73930074783e-05	0.000234884221652	5.00050005001e-05	0.000196971276953	2.90883704695e-05	0.000230013472218
k__Bacteria;p__AC1;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52909997139e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6	0.000147666863556	0.0	3.37260545013e-05	1.03197044437e-05	0.0	0.0	8.26945181804e-06	0.0	2.91779974557e-05	0.0	0.0	6.95134751872e-06	0.0	0.0	0.0	0.0	4.84343593345e-05	0.0	0.0	0.0	0.0	8.28200996853e-05	0.0	0.00010044102742	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__JG37-AG-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83559949114e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000460126413678	1.32979607577e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__	0.000270722583186	0.00119586442833	0.00251821206943	0.000670780788838	0.000722626500737	0.0031547858773	0.00131484283907	0.00145538397566	0.000735285535883	0.00177243810838	0.00778257038171	0.00155015049667	0.00798100815652	0.00194411442502	0.0005278830536	0.0015610382877	8.07239322242e-05	0.00528593940119	0.00109245043917	0.00156938005004	0.00482626666503	0.00121218509539	0.000345130522088	0.000383502104696	0.00104719215487	0.00433376671	0.00171480876406	0.000203618593286	0.00108434922617
k__Bacteria;p__Acidobacteria;c__AT-s54	2.4611143926e-05	7.56876220463e-05	5.0589081752e-05	6.1918226662e-05	4.57449021238e-05	0.000134246207545	0.000206736295451	0.000141758179447	0.0	0.000191614930635	0.000129864106489	8.34161702246e-05	0.00017550828122	0.000133722156218	8.1212777477e-05	0.000140887932103	4.03619661121e-05	6.64898037886e-06	0.000145660058555	0.000116582518003	1.22649724651e-05	0.00021834389917	2.3531626506e-05	0.000219144059826	2.93605277066e-05	8.33416675001e-05	5.79327285156e-05	8.72651114085e-05	0.000131436269839
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	0.0056851742469	0.0106719547085	0.0106799172587	0.00606798621287	0.0112625378557	0.0121828433347	0.00939409726529	0.00449845956112	0.00745206055018	0.0034969724841	0.00746718612309	0.00718769333435	0.0106505814866	0.00801818621325	0.0108554412561	0.00531992831622	0.00778985945963	0.00690164163326	0.00533115814313	0.00842981284022	0.00381440643666	0.00509720068063	0.00731833584337	0.00977017266726	0.00529468182975	0.0047838117145	0.00377721389922	0.00162894874629	0.00487957151776
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0812413860996	0.0882669048304	0.124342341937	0.0933417266929	0.0968441020883	0.142871526379	0.086440579854	0.127733570227	0.0862793384764	0.116367747375	0.11846389314	0.114210639733	0.128749180192	0.110284776761	0.105969139145	0.136272443448	0.0682843742684	0.128571333586	0.149126767949	0.126249899111	0.102835661634	0.106062431297	0.116952183735	0.116082434691	0.0819843801993	0.113461346135	0.114973293012	0.0317063238117	0.0978050142937
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	0.0662285883048	0.000454125732278	0.00264749527835	0.00594414975955	0.000149385695998	0.000134246207545	0.000206736295451	1.89010905929e-05	0.0152134078734	9.58074653177e-05	0.0	0.00440020297935	2.77118338768e-05	0.000262301152582	0.000433134813211	3.38131037048e-05	0.0751136189346	1.99469411366e-05	8.73960351332e-05	0.000152454062004	0.000993462769676	0.000316222198798	0.0121972264056	0.0310454084754	0.00184971324551	0.0001833516685	0.000220144368359	0.000959916225493	0.000427167876976
k__Bacteria;p__Acidobacteria;c__BPC102	0.000147666863556	0.000787151269281	0.000573342926522	0.000247672906648	0.000293768043326	0.000755134917439	0.000628478338171	0.00137032906799	0.000198410382699	0.000670652257224	0.00250452205371	0.000437934893679	0.00334389462113	0.000894909814692	0.000554953979426	0.00145959897659	2.42171796673e-05	0.0038364616786	0.000451546181522	0.000600848362016	0.00100572774214	0.00231896279119	0.00019609688755	0.000237406064812	0.0005969973967	0.002033536687	0.00250269387188	0.000174530222817	0.000328590674597
k__Bacteria;p__Acidobacteria;c__DA052	0.0295333727112	0.000590363451961	0.00190552207932	0.00147571773544	0.000420996052358	0.000486642502349	0.000388664235448	0.00016065927004	0.00452842520512	0.000373649114739	0.000306108251009	0.000556107801497	0.000212457393055	0.000390880148946	0.000351922035734	0.000360673106184	0.0154909225938	0.000226065332881	0.0002621881054	0.000313876010008	0.000607116137024	0.000444216898312	0.0023531626506	0.00514075440343	0.00152674744074	0.000650065006501	0.000521394556641	0.000290883704695	0.000361449742056
k__Bacteria;p__Acidobacteria;c__EC1113	0.00135361291593	0.000968801562193	0.000489027790269	0.000608862562176	6.36140045159e-05	0.000318834742919	0.000347316976358	0.000302417449487	0.000443505561326	0.000364068368207	0.00121515699643	0.000444886241198	0.000397202952234	0.000154294795637	0.000257173795344	0.000433934830878	0.000185665044116	0.000844420508115	0.000247622099544	0.000286972352007	0.000791090724001	0.00205544429219	0.00035297439759	0.000867445236813	0.00034253948991	0.000783411674501	0.00218985713789	2.90883704695e-05	0.000279302073407
k__Bacteria;p__Acidobacteria;c__GAL08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65959215154e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5687751004e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__PAUC37f	0.000639889742075	0.003920618822	0.00323770123213	0.000206394088873	0.00222934921444	0.00355752449993	0.00340701414903	0.00236263632412	0.00159311866108	0.00260596305664	0.00382171513381	0.00245382567411	0.0039350804105	0.00256643676742	0.00259880887926	0.0040124883063	0.000169520257671	0.0115891728004	0.00161682664996	0.0038920625241	0.00413942820698	0.00391513198512	0.000690261044177	0.000575253157044	0.00344496858424	0.00558389172251	0.00383514662774	0.000203618593286	0.00185653731147
k__Bacteria;p__Acidobacteria;c__RB25	0.000295333727112	0.00168026520943	0.0025294540876	0.00050566551774	0.00472316114428	0.00600751778762	0.00316720004631	0.00538681081898	0.0011204351023	0.00216524871618	0.00576040072353	0.00164051801442	0.0123225287972	0.00565747584001	0.00120465619924	0.00359546002728	0.000484343593345	0.00564498434165	0.0028840691594	0.00278901254607	0.00258790919014	0.000926079296481	0.000972640562249	0.000538729147073	0.0034547554268	0.00873420675401	0.00192336658672	0.000349060445634	0.00174153057536
k__Bacteria;p__Acidobacteria;c__S035	0.0	0.0013018270992	0.000792562280781	9.2877339993e-05	0.000152244752381	0.000520204054235	0.000826945181804	0.000699340351938	0.000239259579137	0.00139878899364	0.00156764528547	0.000660378014278	0.000711270402838	0.000720042379637	0.000162425554954	0.00201187967043	1.61447864448e-05	0.00284576360215	0.000436980175666	0.00126447192603	0.000962800338513	0.00163381469379	0.000149033634538	3.65240099711e-05	0.000665505294682	0.002500250025	0.00106596220469	0.000116353481878	0.000591463214274
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.0175477456192	0.00369355595586	0.0039628114039	0.00684196404615	0.00672735966858	0.00281917035844	0.00258833841905	0.00225868032585	0.007901401711	0.00177243810838	0.00185520152127	0.00711122851165	0.00266033605217	0.00274130420248	0.00619924201408	0.00229365553464	0.0241606729147	0.00156915936941	0.00286950315354	0.00329121416209	0.00322568775833	0.00203285699228	0.00650257279116	0.0149383200782	0.00439429231341	0.002100210021	0.00225937641211	0.00517772994357	0.00384451089278
