# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc12	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
k__Archaea;p__Crenarchaeota	0.0130439062808	0.0490304415616	0.01600863387	0.0113310354791	0.00160464539481	0.0225030205397	0.028314603025	0.0260268017465	0.0296856946114	0.0368283896681	0.0340614999304	0.0193803568822	0.01484430568	0.0164272525754	0.0319166215485	0.0602662218365	0.00553766175058	0.069515089861	0.0190232036473	0.0455120214512	0.0314657868593	0.0645243867548	0.00873807730924	0.00658345279728	0.0180175771693	0.04367103377	0.0326972319742	0.00520681831404	0.0217362731246
k__Archaea;p__Euryarchaeota	0.0	7.56876220463e-05	1.12420181671e-05	0.0	4.43153739324e-05	0.0	0.0	0.0	0.0	0.0	9.27600760633e-06	1.39026950374e-05	0.0	0.0	2.70709258257e-05	5.63551728413e-06	0.0	0.0	0.0	0.0	0.0	0.000376454998569	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota]	2.4611143926e-05	0.0	0.0	0.0	0.0	1.67807759431e-05	4.13472590902e-05	0.0	0.0	0.0	3.71040304253e-05	6.95134751872e-06	6.46609457125e-05	2.05726394182e-05	4.06063887385e-05	6.19906901254e-05	0.0	1.99469411366e-05	0.0	0.0	6.13248623257e-06	5.27036997997e-05	0.0	2.73930074783e-05	3.91473702754e-05	6.66733340001e-05	0.0	0.0	0.0
k__Bacteria;p__	9.84445757039e-05	0.000227062866139	0.000202356327008	0.000257992611092	0.00030806332524	0.000973285004699	0.000363855879994	0.000207911996522	8.7533992367e-05	8.62267187859e-05	0.000213348174946	0.000173783687968	0.000184745559179	0.000375450669382	5.41418516513e-05	0.000214149656797	8.07239322242e-05	0.000246012274018	0.000233056093689	0.000484265844013	0.00021463701814	0.000127994699514	3.921937751e-05	2.73930074783e-05	0.000234884221652	5.00050005001e-05	0.000196971276953	2.90883704695e-05	0.000230013472218
k__Bacteria;p__AC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52909997139e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3	0.000147666863556	0.0	3.37260545013e-05	1.03197044437e-05	0.0	0.0	8.26945181804e-06	0.0	3.50135969468e-05	0.0	0.0	6.95134751872e-06	0.0	0.0	0.0	0.0	0.000508560773012	1.32979607577e-05	0.0	0.0	0.0	8.28200996853e-05	0.0	0.00010044102742	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.237128371727	0.182043868546	0.18915819768	0.152752265175	0.162262885946	0.231625050342	0.147394709205	0.182839699851	0.157362775878	0.15817812524	0.199053847224	0.186768805133	0.216041456903	0.179923161192	0.18057661072	0.199931246689	0.237602822109	0.218292674818	0.194383348142	0.192585351855	0.161548084825	0.173432817841	0.179122740964	0.216286056046	0.139354851338	0.191785845251	0.256062660039	0.0483448717203	0.160976571485
k__Bacteria;p__Actinobacteria	0.104548139398	0.146077110549	0.134145381779	0.122278177953	0.0666817720146	0.0953315881326	0.135759590497	0.27271438562	0.127758779659	0.229583429141	0.175427855851	0.0936694078147	0.0984878575981	0.139076185627	0.112574445046	0.145108934549	0.156184664067	0.122367834893	0.159512330124	0.124608775973	0.179865821201	0.143730518454	0.0946049824297	0.0951815699846	0.16096419973	0.182918291829	0.109782520537	0.188754435976	0.14875299839
k__Bacteria;p__Armatimonadetes	0.00150127977948	0.000590363451961	0.000191114308841	0.000526304926627	0.000456734257142	0.000671231037723	0.000653286693625	0.00102065889202	0.000787805931303	0.00059400628497	0.00100180882148	0.00107050751788	0.000471101175905	0.000663467621237	0.000338386572821	0.000828421040767	0.00193737437338	0.00109043278213	0.000364150146388	0.000609816248016	0.000619381109489	0.00146064539445	0.000478476405622	0.00187185551102	0.000440407915598	0.000800080008001	0.00216668404649	0.000465413927512	0.000920053888871
k__Bacteria;p__BHI80-139	7.38334317779e-05	3.02750488185e-05	1.12420181671e-05	3.0959113331e-05	3.28791484015e-05	5.03423278292e-05	4.96167109082e-05	0.000122857088854	2.33423979645e-05	5.74844791906e-05	5.5656045638e-05	0.000166832340449	3.69491118357e-05	7.71473978183e-05	1.35354629128e-05	1.69065518524e-05	9.6868718669e-05	4.6542862652e-05	4.36980175666e-05	8.07109740021e-05	3.67949173954e-05	8.28200996853e-05	3.1375502008e-05	2.73930074783e-05	4.89342128443e-05	5.00050005001e-05	4.63461828125e-05	0.0	6.57181349193e-05
